RANK,WORD,PART OF SPEECH,FREQUENCY,DISPERSION
5,   a,a,10144200,0.98
2201,   abandon,v,15323,0.97
783,   ability,n,51476,0.93
386,   able,j,103171,0.97
1983,   abortion,n,18925,0.91
46,   about,i,874406,0.96
179,   about,r,208550,0.97
896,   above,i,44130,0.95
1599,   above,r,23866,0.92
3392,   abroad,r,8788,0.95
2547,   absence,n,13597,0.92
3192,   absolute,j,9622,0.94
1152,   absolutely,r,36740,0.88
3145,   absorb,v,9762,0.95
4045,   abstract,j,7165,0.9
1548,   abuse,n,24534,0.93
3778,   abuse,v,7554,0.94
1473,   academic,j,28216,0.86
4977,   accelerate,v,4923,0.96
4181,   accent,n,6486,0.94
767,   accept,v,49952,0.97
3445,   acceptable,j,8723,0.93
3473,   acceptance,n,8870,0.9
1117,   access,n,35310,0.94
4416,   access,v,6023,0.92
4423,   accessible,j,5965,0.93
1720,   accident,n,20964,0.97
3753,   accommodate,v,7571,0.94
2460,   accompany,v,13666,0.95
2366,   accomplish,v,14325,0.96
4351,   accomplishment,n,5980,0.95
479,   according,i,83773,0.94
1075,   account,n,36786,0.95
1923,   account,v,19403,0.92
4855,   accountability,n,5409,0.9
3960,   accounting,n,7319,0.9
4111,   accuracy,n,6942,0.9
2754,   accurate,j,11842,0.94
4950,   accurately,r,5156,0.92
4924,   accusation,n,4987,0.95
2041,   accuse,v,17778,0.94
1155,   achieve,v,35166,0.92
2038,   achievement,n,18998,0.88
3265,   acid,n,9772,0.9
1664,   acknowledge,v,21983,0.95
2079,   acquire,v,17435,0.93
3893,   acquisition,n,7338,0.92
378,   across,i,105559,0.96
3154,   across,r,9825,0.94
840,   act,v,45648,0.98
1139,   act,n,34104,0.96
503,   action,n,80009,0.95
1451,   active,j,26507,0.93
4356,   actively,r,6232,0.91
2618,   activist,n,12737,0.94
538,   activity,n,77980,0.9
1507,   actor,n,24848,0.96
3263,   actress,n,9448,0.93
1752,   actual,j,21321,0.93
397,   actually,r,105155,0.92
1761,   ad,n,21064,0.93
2954,   adapt,v,10987,0.93
341,   add,v,117842,0.94
4602,   added,j,5616,0.94
2065,   addition,i,17641,0.93
3976,   addition,n,7027,0.93
1326,   additional,j,29771,0.93
1031,   address,v,39774,0.92
1820,   address,n,19564,0.97
3326,   adequate,j,9406,0.91
2320,   adjust,v,14564,0.96
3146,   adjustment,n,10309,0.9
3695,   administer,v,8135,0.9
636,   administration,n,62071,0.93
3543,   administrative,j,8895,0.88
2505,   administrator,n,14058,0.9
3305,   admire,v,9016,0.96
3057,   admission,n,10356,0.93
1093,   admit,v,35143,0.97
3414,   adolescent,n,10568,0.78
1641,   adopt,v,22880,0.93
3711,   adoption,n,7986,0.91
972,   adult,n,40705,0.95
2316,   advance,n,14645,0.96
2706,   advance,v,12056,0.95
2824,   advanced,j,11626,0.93
1308,   advantage,n,29340,0.95
2885,   adventure,n,11031,0.95
2664,   advertising,n,12601,0.93
1650,   advice,n,21970,0.96
2575,   advise,v,12709,0.96
2745,   adviser,n,12112,0.93
2646,   advocate,n,12565,0.94
3947,   advocate,v,7198,0.92
4343,   aesthetic,j,6647,0.86
1373,   affair,n,27432,0.96
966,   affect,v,41496,0.93
1860,   afford,v,19035,0.97
1407,   afraid,j,27727,0.93
1207,   African,j,34557,0.89
3340,   African-American,j,9121,0.93
120,   after,i,311902,0.98
260,   after,c,142289,0.98
1195,   afternoon,n,33202,0.94
4235,   afterward,r,6353,0.94
184,   again,r,206895,0.94
180,   against,i,204379,0.98
387,   age,n,103402,0.96
3942,   age,v,7005,0.95
695,   agency,n,56954,0.94
2149,   agenda,n,16449,0.94
